id,grievance,department,status
G172,Several residents complain that medical waste is not disposed properly near the railway station Kindly send the concerned team.,Health,Resolved
G173,Please address the issue that hospital cleanliness is poor on Main Road Please inspect and resolve this issue.,Health,Resolved
G174,A citizen reports that health camp information is missing near the market and request urgent action.,Health,Resolved
G175,Please address the issue that government clinic is short of medicines near the school and request urgent action.,Health,Resolved
G176,Several residents complain that health centre has a long waiting time near the bus stand and request urgent action.,Health,Resolved
G177,Please address the issue that ambulance response is delayed near the market and request urgent action.,Health,Resolved
G178,Several residents complain that vaccination centre is not operating near the market Residents are requesting a quick solution.,Health,Resolved
G179,Several residents complain that doctor is unavailable at the clinic near the school Please inspect and resolve this issue.,Health,Resolved
G180,Please address the issue that medical waste is not disposed properly near the bus stand Kindly send the concerned team.,Health,Resolved
G181,People in the neighborhood say that property tax portal is not working near the bus stand This is affecting daily life in the area.,Municipal Services,Resolved
G182,A citizen reports that birth certificate application is delayed in the residential colony The problem has continued for several days.,Municipal Services,Resolved
G183,People in the neighborhood say that street name board is missing near the railway station Kindly send the concerned team.,Municipal Services,Resolved
G184,Several residents complain that public park needs maintenance near the market Residents are requesting a quick solution.,Municipal Services,Resolved
G185,People in the neighborhood say that building permission is delayed in the residential colony and request urgent action.,Municipal Services,Resolved
G186,People in the neighborhood say that municipal office service is slow in Ward 12 Residents are requesting a quick solution.,Municipal Services,Resolved
G187,People in the neighborhood say that community hall booking is not updated in Ward 12 This is affecting daily life in the area.,Municipal Services,Resolved
G188,Several residents complain that public toilet needs maintenance in the residential colony Please inspect and resolve this issue.,Municipal Services,Resolved
G189,Several residents complain that property tax portal is not working in Ward 12 This is affecting daily life in the area.,Municipal Services,Resolved
G190,Please address the issue that birth certificate application is delayed in the apartment neighborhood Please inspect and resolve this issue.,Municipal Services,Resolved
G191,Please address the issue that street name board is missing near the bus stand The problem has continued for several days.,Municipal Services,Resolved
G192,People in the neighborhood say that public park needs maintenance near the school Please inspect and resolve this issue.,Municipal Services,Resolved
G193,People in the neighborhood say that building permission is delayed near the railway station Please inspect and resolve this issue.,Municipal Services,Resolved
G194,People in the neighborhood say that municipal office service is slow beside the community centre and request urgent action.,Municipal Services,Resolved
G195,People in the neighborhood say that community hall booking is not updated on Main Road Residents are requesting a quick solution.,Municipal Services,Resolved
G196,A citizen reports that public toilet needs maintenance in Ward 12 Kindly send the concerned team.,Municipal Services,Resolved
G197,A citizen reports that property tax portal is not working in Ward 12 Please inspect and resolve this issue.,Municipal Services,Resolved
G198,People in the neighborhood say that birth certificate application is delayed near the market This is affecting daily life in the area.,Municipal Services,Resolved
G199,Residents reported that street name board is missing near the railway station Please inspect and resolve this issue.,Municipal Services,Resolved
G200,People in the neighborhood say that public park needs maintenance near the school This is affecting daily life in the area.,Municipal Services,Resolved
G201,A citizen reports that building permission is delayed near the bus stand This is affecting daily life in the area.,Municipal Services,Resolved
G202,People in the neighborhood say that municipal office service is slow near the market The problem has continued for several days.,Municipal Services,Resolved
G203,A citizen reports that community hall booking is not updated near the railway station This is affecting daily life in the area.,Municipal Services,Resolved
G204,Please address the issue that public toilet needs maintenance near the market and request urgent action.,Municipal Services,Resolved
G205,Please address the issue that property tax portal is not working in the apartment neighborhood Residents are requesting a quick solution.,Municipal Services,Resolved
G206,People in the neighborhood say that birth certificate application is delayed in the old town area This is affecting daily life in the area.,Municipal Services,Resolved
G207,Residents reported that street name board is missing in the residential colony Kindly send the concerned team.,Municipal Services,Resolved
G208,Residents reported that public park needs maintenance in Ward 12 Kindly send the concerned team.,Municipal Services,Resolved
G209,Several residents complain that building permission is delayed in Ward 12 Please inspect and resolve this issue.,Municipal Services,Resolved
G210,Residents reported that municipal office service is slow in Ward 12 Kindly send the concerned team.,Municipal Services,Resolved
G211,People in the neighborhood say that street is unsafe due to poor lighting near the railway station and request urgent action.,Public Safety,Resolved
G212,People in the neighborhood say that broken CCTV camera needs repair near the railway station The problem has continued for several days.,Public Safety,Resolved
G213,Several residents complain that police help point is not working in the residential colony This is affecting daily life in the area.,Public Safety,Resolved
G214,People in the neighborhood say that dangerous abandoned vehicle is blocking the road in the residential colony The problem has continued for several days.,Public Safety,Resolved
G215,Please address the issue that missing safety barrier near construction on Main Road Kindly send the concerned team.,Public Safety,Resolved
G216,Several residents complain that public area needs more security in the apartment neighborhood This is affecting daily life in the area.,Public Safety,Resolved
G217,Residents reported that emergency contact board is damaged near the bus stand This is affecting daily life in the area.,Public Safety,Resolved
G218,Several residents complain that unsafe open excavation needs barricading in Ward 12 Please inspect and resolve this issue.,Public Safety,Resolved
G219,Several residents complain that street is unsafe due to poor lighting in Ward 12 Residents are requesting a quick solution.,Public Safety,Resolved
G220,People in the neighborhood say that broken CCTV camera needs repair in the apartment neighborhood Please inspect and resolve this issue.,Public Safety,Resolved
G221,Residents reported that police help point is not working in the apartment neighborhood Residents are requesting a quick solution.,Public Safety,Resolved
G222,Several residents complain that dangerous abandoned vehicle is blocking the road on Main Road Residents are requesting a quick solution.,Public Safety,Resolved
G223,Please address the issue that missing safety barrier near construction in the residential colony This is affecting daily life in the area.,Public Safety,Resolved
G224,Residents reported that public area needs more security near the bus stand Kindly send the concerned team.,Public Safety,Resolved
G225,Please address the issue that emergency contact board is damaged near the bus stand Kindly send the concerned team.,Public Safety,Resolved
G226,Please address the issue that unsafe open excavation needs barricading in Ward 12 The problem has continued for several days.,Public Safety,Resolved
G227,Several residents complain that street is unsafe due to poor lighting in the residential colony Kindly send the concerned team.,Public Safety,Resolved
G228,Residents reported that broken CCTV camera needs repair in the residential colony Please inspect and resolve this issue.,Public Safety,Resolved
G229,A citizen reports that police help point is not working in the old town area Residents are requesting a quick solution.,Public Safety,Resolved
G230,Several residents complain that dangerous abandoned vehicle is blocking the road near the bus stand Kindly send the concerned team.,Public Safety,Resolved
G231,Please address the issue that missing safety barrier near construction near the market Residents are requesting a quick solution.,Public Safety,Resolved
G232,Several residents complain that public area needs more security near the market and request urgent action.,Public Safety,Resolved
G233,People in the neighborhood say that emergency contact board is damaged near the railway station and request urgent action.,Public Safety,Resolved
G234,Please address the issue that unsafe open excavation needs barricading in Ward 12 This is affecting daily life in the area.,Public Safety,Resolved
G235,Please address the issue that street is unsafe due to poor lighting in the residential colony Kindly send the concerned team.,Public Safety,Resolved
G236,Several residents complain that broken CCTV camera needs repair near the railway station Kindly send the concerned team.,Public Safety,Resolved
G237,A citizen reports that police help point is not working near the market Please inspect and resolve this issue.,Public Safety,Resolved
G238,Residents reported that dangerous abandoned vehicle is blocking the road on Main Road Residents are requesting a quick solution.,Public Safety,Resolved
G239,Residents reported that missing safety barrier near construction in the residential colony This is affecting daily life in the area.,Public Safety,Resolved
G240,Please address the issue that public area needs more security in the residential colony Residents are requesting a quick solution.,Public Safety,Resolved
G241,Street lights are not working and garbage has not been collected in Ward 12.,Electricity|Sanitation,Resolved
G242,The road has deep potholes and the nearby street lights are also not working.,Roads|Electricity,Resolved
G243,There is no water supply and the sewage drain is overflowing near the market.,Water Supply|Sanitation,Resolved
G244,The bus shelter is damaged and the road surface outside it is badly broken.,Public Transport|Roads,Resolved
G245,The public clinic has no medicines and medical waste is lying outside.,Health|Sanitation,Resolved
G246,The park is poorly maintained and the street around it is unsafe at night.,Municipal Services|Public Safety,Resolved
G247,A broken CCTV camera and a damaged street light are creating a safety problem.,Public Safety|Electricity,Resolved
G248,An open manhole and overflowing garbage are creating a serious hazard.,Roads|Sanitation,Resolved
